ITS_ID	Plant	Plant_Genus	Plant_sci	Plant_species	Location	Symptom_condition	Neighbor	LSU_code	Longitude	Latitude	MycoID
SD175	Giant_smutgrass	Sporobolus	Sporobolus_indicus_var_pyramidalis	Sporobolus_indicus	St_Cloud	Symptom	Symptom	SA_087	-80.887	27.9864	m23
SD176	Giant_smutgrass	Sporobolus	Sporobolus_indicus_var_pyramidalis	Sporobolus_indicus	St_Cloud	Symptom	Symptom	SA_088	-80.887	27.9864	m23
SD177	Broomsedge	Andropogon	Andropogon_virginicus	Andropogon_virginicus	St_Cloud	No_Symptom	wSym	SA_089	-80.887	27.9864	m24
SD178	Broomsedge	Andropogon	Andropogon_virginicus	Andropogon_virginicus	St_Cloud	No_Symptom	wSym	SA_090	-80.887	27.9864	m24
SD179	Broomsedge	Andropogon	Andropogon_virginicus	Andropogon_virginicus	St_Cloud	No_Symptom	wSym	SA_091	-80.887	27.9864	m24
SD180	Brunswickgrass	Paspalum	Paspalum_nicorae	Paspalum_nicorae	St_Cloud	No_Symptom	wSym	SA_092	-80.887	27.9864	m25
SD181	Brunswickgrass	Paspalum	Paspalum_nicorae	Paspalum_nicorae	St_Cloud	No_Symptom	wSym	SA_093	-80.887	27.9864	m25
SD182	Brunswickgrass	Paspalum	Paspalum_nicorae	Paspalum_nicorae	St_Cloud	No_Symptom	wSym	SA_094	-80.887	27.9864	m25
SD183	Common_bermudagrass	Cynodon	Cynodon_dactylon	Cynodon_dactylon	St_Cloud	No_Symptom	wSym	SA_095	-80.887	27.9864	m26
SD184	Common_bermudagrass	Cynodon	Cynodon_dactylon	Cynodon_dactylon	St_Cloud	No_Symptom	wSym	SA_096	-80.887	27.9864	m26
SD185	Common_bermudagrass	Cynodon	Cynodon_dactylon	Cynodon_dactylon	St_Cloud	No_Symptom	wSym	SA_097	-80.887	27.9864	m26
SD186	Brunswickgrass	Paspalum	Paspalum_nicorae	Paspalum_nicorae	Chifland	No_Symptom	No_Symptom	SA_098	-82.8586	29.5569	m29
SD187	Brunswickgrass	Paspalum	Paspalum_nicorae	Paspalum_nicorae	Chifland	No_Symptom	No_Symptom	SA_099	-82.8586	29.5569	m29
SD188	Brunswickgrass	Paspalum	Paspalum_nicorae	Paspalum_nicorae	Chifland	No_Symptom	No_Symptom	SA_100	-82.8586	29.5569	m29
SD189	Brunswickgrass	Paspalum	Paspalum_nicorae	Paspalum_nicorae	Chifland	No_Symptom	No_Symptom	SA_101	-82.8586	29.5569	m30
SD190	Brunswickgrass	Paspalum	Paspalum_nicorae	Paspalum_nicorae	Chifland	No_Symptom	No_Symptom	SA_102	-82.8586	29.5569	m30
SD191	Brunswickgrass	Paspalum	Paspalum_nicorae	Paspalum_nicorae	Chifland	No_Symptom	No_Symptom	SA_103	-82.8586	29.5569	m30
